id,context,question,answer
893,"The Board's policy on tenure is that continuity and experience are considered to add significantly to the strength of the Board and, as such, there is no limit on the overall length of service of any of the Directors.",Why is there no limit on the overall length of service for any of the Directors?,The Board's policy on tenure is that continuity and experience are considered to add significantly to the strength of the Board
99,"• NAV per share grew from 98.5p to 104.9p over the year mainly due to operating outperformance, changes in power price forecast, higher RPI inflation expectations and a change in discount rates.",What caused the NAV per share to grow from 98.5p to 104.9p over the year?,"operating outperformance, changes in power price forecast, higher RPI inflation expectations and a change in discount rates"
202,"The £13.2m year-on-year increase is attributable to an additional £7.6m of sales derived from acquisition growth, with the balance generated through organic growth within the Ecuphar business.",What drove the additional £7.6m of sales?,acquisition growth
1657,"VoltAir System has a capability to supply highly configurable, specialised solutions for heat recovery ventilation in new construction projects. A modular system that can be completed onsite enables us to supply ventilation products for applications where our competitors are restricted due to the size and configuration of their units.","What factors contribute to restricting their competitors compared to their modular system, which can be completed onsite?",the size and configuration of their units
1149,Performance load factor has decreased by 3.0 ppts due to a capacity increase of 12.3% and tough competition within the market.,What was the consequence of a capacity increase of 12.3% and tough competition within the market?,Performance load factor has decreased by 3.0 ppts
667,"Thanks to these new loans arranged during the year and the rollover of the syndicated loan for an additional year, 80% of the company’s available financial resources have a maturity of over 4 years.",What did the year's new loans and the one-year extension of the syndicated loan result in?,80% of the company’s available financial resources have a maturity of over 4 years
1804,"The Spitfire brand has broadened its appeal thanks to a portfolio consisting of lager, gold and amber variants.",What does Spitfire brand's broadened appeal owe to?,"a portfolio consisting of lager, gold and amber variants"
1826,"Our polyhalite product contains four of the six macro-nutrients (potassium, sulphur, magnesium and calcium) required for plant growth. Polyhalite is an effective, direct application, multi-nutrient fertilizer and can also be combined with nitrogen and phosphorous to create high-value NPK fertilizer products that contain all six macro- nutrients. As such, we are less exposed to the existing potash supply structure with respect to product supply and demand dynamics.",What is the explanation for the low exposure to the existing potash supply structure regarding product supply and demand dynamics?,"Polyhalite is an effective, direct application, multi-nutrient fertilizer and can also be combined with nitrogen and phosphorous to create high-value NPK fertilizer products that contain all six macro- nutrients"
355,Reviewing whether the Company should have an internal audit function. Again it was concluded that this was not required because of the simplicity of the Group's centralised business model combined with existing assurance activity in key control areas.,What led to the conclusion that having an internal audit function was not required?,the Group's centralised business model combined with existing assurance activity in key control areas
614,"During a challenging year, the Group delivered revenue growth of 7%. Due to continued margin pressures within the legacy Marketing Activation and Books segments, the Group's Adjusted operating profit fell from £33.3 million to £27.1 million.",What did the continued margin pressures within the legacy Marketing Activation and Books segments lead to?,the Group's Adjusted operating profit fell from £33.3 million to £27.1 million
1869,The amortisation charge in relation to IFRS3 intangible assets of £2.0m (2016: £1.9m) arose from separately identifiable assets recognised as part of previous acquisitions. The assets principally relate to software and customer relationships and are amortised over their expected life which was determined in the year the acquisition took place.,What were the consequences of separately identifiable assets being recognised as part of previous acquisitions?,The amortisation charge in relation to IFRS3 intangible assets of £2.0m (2016: £1.9m)
1727,"This risk is elevated as a result of on-going challenges in the operating environment in Tanzania, and our on-going disputes with the Government.",What reasons are behind the elevated risk?,"on-going challenges in the operating environment in Tanzania, and our on-going disputes with the Government"
732,"We have an extensive operations' footprint across 30 countries. Our broad range of products are therefore never far from where they need to be, allowing us to meet our customers' needs quickly and easily, as well as reducing the number of deliveries to our customers, thereby cutting fuel usage, carbon emissions and administration.",What accounts for the broad range of products always being close to where they are needed?,We have an extensive operations' footprint across 30 countries
1906,The increasing customer demand for travel information and reservations has led to a rapid and ongoing increase in IT systems capacity.,What is the outcome of the augmented consumer demand for travel information and bookings?,a rapid and ongoing increase in IT systems capacity
1848,"IFRS 15 will be adopted from 1 January 2018 and therefore in next year's audited financial statements, Gamma will restate the 2017 figures under the new accounting policies (which are set out in Note 3).",Why will Gamma restate the 2017 figures under the new accounting policies in next year's audited financial statements?,IFRS 15 will be adopted from 1 January 2018
487,"Our clinical platform and disease in motion-based discovery research in flu has enabled us to identify the signalling pathways that we believe are active in severe flu and create a process for identifying what could be the true levers of this disease. Our pioneering work in identifying a drug target for the treatment of severe flu (HVO-001) led to a patent application in 2017, and, if possible, we plan to leverage non-dilutive funding to advance this invention through government grants and collaborations.",What have the clinical platform and disease-in-motion-based discovery research in flu led to?,identify the signalling pathways that we believe are active in severe flu and create a process for identifying what could be the true levers of this disease
1590,"Prudent investment in our key assets We continue to invest in our fleets in a disciplined way, and took delivery of 272 vehicles in the year. As a result of our fleet investment programme our fleet is now fully compliant with the Disability Discrimination Act ('DDA')",What happened due to their fleet investment programme?,our fleet is now fully compliant with the Disability Discrimination Act ('DDA')
770,"Impairment losses decreased to £4.4m in 2017 (2016: £9.0m) representing 7bps on average gross loans and advances (2016: 16bps). The decrease was primarily due to increased prudency in assumptions introduced in 2016 following the UK referendum vote to leave the EU, as well as lower underlying loan losses",What were the main reasons for the decrease?,"increased prudency in assumptions introduced in 2016 following the UK referendum vote to leave the EU, as well as lower underlying loan losses"
649,"• Under the new policy, awards will be made as PSUs only and therefore the use of performance-based SARs will be discontinued. • As a result, the maximum opportunity level has been reduced to 600 percent of salary from 840 percent.",What will be the result of making awards as PSUs only under the new policy?,the use of performance-based SARs will be discontinued
1226,"The purchase process at Bankinter has been transformed in recent years as a result of the guidelines and requirements of European regulation and supervision organisations, in particular, the European Central Bank, the European Banking Authority (EBA) and the Single Resolution Board.",What impact did the new directives and mandates of European regulatory and supervisory bodies have?,The purchase process at Bankinter has been transformed in recent years
113,"Research and development expenses for the year ended 31 December 2017 amount to €10,564,000, compared to €2,344,000 for the year ended 31 December 2016. The increase of €8,220,000 is primarily due to the advancement of the Group's lead development asset, AP1 01, in 2017.","What prompted research and development expenses to increase by €8,220,000?","the advancement of the Group's lead development asset, AP1 01, in 2017"
1566,"Tuzistra XR has been available to patients in the US market for two cough cold seasons. During 2016/17 we markedly strengthened its position with payers, pharmacies, physicians and patients. As a result, we increased pharmacy stocking.",What action helped increasing pharmacy stocking?,"During 2016/17 we markedly strengthened its position with payers, pharmacies, physicians and patients"
886,"We aim to carefully align our Human Capital with our operational and growth requirements. We believe that we have currently achieved this alignment, due to the success of activities including our ongoing university recruitment and employee retention strategies.",What factors account for the achievement of aligning Human Capital with operational and growth requirements?,the success of activities including our ongoing university recruitment and employee retention strategies
604,Finance charges were higher in 2017 due to higher average usage of the corporate banking facilities as well as lower interest income received on cash collateral balances.,What factors contributed to finance charges being higher in 2017?,higher average usage of the corporate banking facilities as well as lower interest income received on cash collateral balances
566,There is no formal ongoing contractual commitment to the Group by the majority of vendors. As such they have a right to terminate their contractual relationships with the Group without notice or penalties.,What are the implications of the absence of a formal ongoing contractual commitment to the Group by the majority of vendors?,they have a right to terminate their contractual relationships with the Group without notice or penalties
790,"3 A lower fee environment and the impact on our business model of margin attrition due to: – Changes in investor demand, driven by derisking, or a focus on lower fee margin products – Compressed investment returns leading to greater fee sensitivity – Moves towards vertical integration.",What factors contributed to a lower fee environment and had an impact on their business model of margin attrition?,"Changes in investor demand, driven by derisking, or a focus on lower fee margin products – Compressed investment returns leading to greater fee sensitivity – Moves towards vertical integration"
617,"The general expenses increase year by year, mainly due to the transformation of the distribution model (store branches, InTouch), greater expenditure on technology, and new regulatory requirements.",What are the factors behind the increase of expenses year by year?,"the transformation of the distribution model (store branches, InTouch), greater expenditure on technology, and new regulatory requirements"
1232,"HEDGING Eland was unhedged throughout 2017 and thus benefited from the strong rise in the oil price in the latter half of 2017 and into 2018. The Company will continue to regularly review its approach to managing commodity prices, interest rate and currency fluctuations",Why did Eland benefited from the strong rise in the oil price in the latter half of 2017 and in 2018?,Eland was unhedged throughout 2017
1313,"Thanks to our technology and people, we feel well equipped to support and achieve our vision and fuel our online customers’ growth.",What is the impact of their techonology and capable team?,we feel well equipped to support and achieve our vision and fuel our online customers’ growth
51,"After taking account of these factors, underlying revenue increased in our business channel. Wholesale revenues have declined slightly during the year as a result of lower voice revenues and, as anticipated, our non-core contact centre and publishing revenues have continued to decline.",What has the decrease in voice revenues brought about?,Wholesale revenues have declined slightly during the year
133,"At the end of 2017 the Group's exposure to abandonment and decommissioning costs relating to the Chinguetti oil field totalled $32.5 million, based on settlement discussions with SMHPM (see Note 25 on page 87) being split between short-term provisions ($28.7 million) and trade payables ($3.8 million).",What caused the Group's exposure to abandonment and decommissioning costs relating to the Chinguetti oil field to total $32.5 million at the end of 2017?,settlement discussions with SMHPM (see Note 25 on page 87) being split between short-term provisions ($28.7 million) and trade payables ($3.8 million)
480,2 Simon Rowlands appointment was renewed for a further one-year period and a letter of appointment dated 23 July 2017 was issued to him. Due to the senior position Simon Rowlands previously held with Cinven Partners he is considered to be a non-independent Non-Executive Director.,What is the reason for Simon Rowlands being considered to be a non-independent Non-Executive Director?,the senior position Simon Rowlands previously held with Cinven Partners
722,"Also, to make further progress in the process to integrate operations with Orbital Sistemas Aerospaciales, S.L. (Noain, Navarre), a leader in the development of critical systems in the aeronautical, space and railway industries, of which the CAF Group purchased a 30% ownership interest in 2018, which can be increased based on the performance of certain business parameters. As a result of this ownership interest, the CAF Group expects to contribute to strengthening Orbital's current activities and to benefit from a state-of-the-art development base in critical systems with high security standards (hardware, software and integration, and validation services) in order to develop its own solutions in the railway industry.",What are the potential consequences of acquiring a 30% stake in Orbital?,"the CAF Group expects to contribute to strengthening Orbital's current activities and to benefit from a state-of-the-art development base in critical systems with high security standards (hardware, software and integration, and validation services) in order to develop its own solutions in the railway industry"
1580,"I am pleased to be announcing another year of strong results due to our clear, consistent strategy, the dedication of our people across the business and the strength of our management team. Our total revenues during this 53 week period have increased by 12% to £392.0 million.",Why did they have another year of strong results?,"our clear, consistent strategy, the dedication of our people across the business and the strength of our management team"
989,"In the summer of 2018, 204 airports were designated Level 3 slot-coordinated facilities, meaning that they do not have the runway, ramp or gate capacity to handle all of the flights that carriers would like to operate. At the same time, despite the strong investments in airports, Eurocontrol estimates that by 2040, 160 million passengers will be unable to fly due to a lack of airport capacity, resulting in €88 billion of lost economic activity across Europe. As technology can facilitate more efficient use of these scarce resources, the industry will need to invest in IT systems.",What is the factor that will prevent approximately 160 million passengers from flying and cause a €88 billion loss?,a lack of airport capacity
1370,The Audit Committee reviewed the appropriateness of management's proposed accounting treatment of existing and new revenue streams including in light of the expected impact of IFRS 15. The Audit Committee considered the appropriate accounting policies for certain new contracts and taking into account the views of the external auditor.,What was the consequence of the expected impact of IFRS 15?,The Audit Committee reviewed the appropriateness of management's proposed accounting treatment of existing and new revenue streams
1413,"The Insurance Support Services business delivered excellent top line growth, benefiting from a full year's contribution from CEGA, which secured additional business from high profile UK insurers. Overall profit was down because of our increased investment to build the capabilities of our insurance technology business, Charles Taylor InsureTech.",What caused overall profit to be down?,"our increased investment to build the capabilities of our insurance technology business, Charles Taylor InsureTech"
1725,"Long-term value creation through developing our oil assets, recovering monies owed for past sales and establishing the gas business. Therefore, PSP awards for 2018 will again be assessed 50% on relative TSR against our peer group, and 50% against absolute TSR targets.","What are the consequences of their long-term value creation efforts, including developing oil assets, recovering monies owed from past sales, and establishing the gas business?","PSP awards for 2018 will again be assessed 50% on relative TSR against our peer group, and 50% against absolute TSR targets"
723,"During 2017, an aggregate of $595,828 of loss of office payments were made to Mr. Silva as a result of his resignation as Chief Executive Officer on 10 March 2017","Why were loss of office payments totaling $595,828 made to Mr. Silva during 2017?",his resignation as Chief Executive Officer on 10 March 2017
737,"More accessible data, cheaper technology, new competition regulation and shifting customer expectations are the key drivers of change and are creating new challenges and opportunities for incumbent banks. These drivers are enabling new challenger banks to compete more effectively, from a lower cost base, and we have to respond.",What factors are responsible for enabling new challenger banks to compete more effectively from a lower cost base?,"More accessible data, cheaper technology, new competition regulation and shifting customer expectations"
1992,"UK 2017 was another difficult year for our UK Construction business due to the ongoing period of challenging market conditions and continued pockets of underperformance in operational delivery in a number of contracts, which resulted in a net loss result for the division.",What were the reasons for the net loss result in the division?,the ongoing period of challenging market conditions and continued pockets of underperformance in operational delivery in a number of contracts
265,"The malware, called WannaDecrypter, WannaCry or WCry, spread easily due to its ability to self-propagate an instruction in the malicious code told it to jump to other vulnerable machines if it cannot connect to a specified address. This is reminiscent of the worm outbreaks of the early 2000s.","What is the reason for the malware —known as WannaDecrypter, WannaCry, or WCry— spreading so easily?",its ability to self-propagate an instruction in the malicious code told it to jump to other vulnerable machines if it cannot connect to a specified address
171,"Although the Group has continued to perform very well and the Board believes that it operates successfully and with consensus, the Board acknowledges the benefits of using an external facilitator to assess its own performance and therefore it has been agreed that Prism Boardroom will facilitate an independent review of the performance of the Board during 2018.",What resulted from the Board acknowledging the benefits of using an external facilitator to assess its own performance?,it has been agreed that Prism Boardroom will facilitate an independent review of the performance of the Board during 2018
1209,"As a Jersey-registered company, the Company is not subject to UK legislation. However, in light of the Company's listing on the London Stock Exchange, the Remuneration Committee reviewed its remuneration practices and reporting to reflect the UK Government's remuneration reporting reforms contained in the Enterprise and Regulatory Reform Act.",What is the implication of the Company being registered in Jersey?,the Company is not subject to UK legislation
1979,"• The volume of premiums increased to €853 million, almost 7% up on 2017, thanks to the 5.3% increase in the Automotive area and the extraordinary pace of growth, 12.4%, in the Home sector.",What was the outcome of the 5.3% rise in the Automotive area and the rapid expansion in the Home sector?,"The volume of premiums increased to €853 million, almost 7% up on 2017"
196,"Foreign exchange management Due to the international reach of the Group, currency transaction exposures exist. The Group has a policy in place to hedge between 75% and 100% of local foreign currency exposures on a quarterly basis, and may further hedge material firm commitments and a proportion of highly probable",Why do currency transaction exposures exist?,the international reach of the Group
134,"• Under the new policy, awards will be made as PSUs only and therefore the use of performance-based SARs will be discontinued. • As a result, the maximum opportunity level has been reduced to 600 percent of salary from 840 percent.",What caused the reduction of the maximum opportunity level to 600 percent of salary from 840 percent?,"Under the new policy, awards will be made as PSUs only and therefore the use of performance-based SARs will be discontinued"
