candidate_key,example_key,source_row,id,context,question,gold_answer,beam_rank,prediction,sequence_score,relative_beam_weight,verbatim_in_context,token_f1_with_gold,automatic_relation,review_batch,acceptance_status,error_type,acceptance_basis,blind_verification_sample,blind_verification_result,screening_rationale
v5_0012_1097_beam2,v5_0012_1097,12,1097,"Thus, Economic Sales in Tobacco and related products grew by 0.9% comparing to previous fiscal year due to the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services.",What were the reasons behind the growth by 0.9% comparing to previous fiscal year regarding Economic Sales in Tobacco and related products?,"the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services",2,"to the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services",-0.4194066524505615,0.1835166140393102,True,0.9767441860465116,overextended,1,accepted,overextended,prior_manual_validation,no,,adds leading connector/preposition before the gold span
v5_0015_531_beam1,v5_0015_531,15,531,"• Market liquidity risk. Risk when a Group entity or the Group as a whole cannot reverse or close a position in time without having an impact on the market price or the cost of the transaction. Market liquidity risk is caused by a reduction in the number of market makers or institutional investors, the execution of a large volume of transactions, or market instability. It increases as a result of the concentration of certain products and currencies.",What does market liquidity risk stem from?,"a reduction in the number of market makers or institutional investors, the execution of a large volume of transactions, or market instability",1,"a reduction in the number of market makers or institutional investors, the execution of a large volume of transactions",-0.3922087550163269,0.2333567712207467,True,0.8780487804878049,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0017_889_beam5,v5_0017_889,17,889,"The Company experienced NAV growth during the year ended 31 March 2017 mainly driven by the issuance of new capital in the summer and in November 2016 for c.£179.9m and the revaluation of its investment portfolio during the year. As a result, NAV grew over the year from £273.8m to £478.6m as at 31 March 2017.",What reasons led to the Company's NAV growth from £273.8m to £478.6m during the year ended 31 March 2017?,the issuance of new capital in the summer and in November 2016 for c.£179.9m and the revaluation of its investment portfolio during the year,5,the issuance of new capital in the summer and in November 2016 for c.£179.9m,-0.2640835046768188,0.1848019369413259,True,0.7368421052631579,incomplete,1,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0018_380_beam2,v5_0018_380,18,380,"The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets in order to achieve client outcomes, has conduct at its core. Therefore, in assessing the Group's risks, the Directors have considered the FCA's 11 principles for businesses.",What motivated the Directors to consider the FCA's 11 principles for business when assessing the Group's risk?,"The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets in order to achieve client outcomes, has conduct at its core",2,"The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets",-0.3967834711074829,0.2410603460123181,True,0.717948717948718,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits the causal or explanatory tail needed to complete the gold answer.
v5_0020_53_beam4,v5_0020_53,20,53,"As a consequence of the Disposal, the Company became a Rule 15 Cash Shell and, as such, the Company is required to make an acquisition or acquisitions which constitute a reverse takeover under AIM Rule 14 on or before the date falling six months from completion of the Disposal.",What were the implications of the Disposal?,"the Company became a Rule 15 Cash Shell and, as such, the Company is required to make an acquisition or acquisitions which constitute a reverse takeover under AIM Rule 14 on or before the date falling six months from completion of the Disposal",4,"the Company became a Rule 15 Cash Shell and, as such, the Company is required to make an acquisition or acquisitions which constitute a reverse takeover under AIM Rule 14",-0.2292338460683822,0.1874432176951179,True,0.8219178082191781,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,"Omits a complete, meaningful portion of the gold answer while remaining usable."
v5_0028_1545_beam5,v5_0028_1545,28,1545,"The new regulation represents a challenge not only from a regulatory point of view but also strategically, given that it requires the professionalisation of investment services and introduces significant changes to the structure of revenue arising from the provision of them. In 2018, the adaptation to MiFID II, MIFIR and PRIIPs has become a priority and the Regulatory Compliance area advised the Group on the adaptation work and on the analysis and decisions that need to be adopted as a result of European regulatory changes and their transposition into Spanish law.",Why does the new regulation respresents a regulatory and strategical challenge?,it requires the professionalisation of investment services and introduces significant changes to the structure of revenue arising from the provision of them,5,it requires the professionalisation of investment services,-1.0365033149719238,0.1279087603709505,True,0.4827586206896552,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0030_999_beam1,v5_0030_999,30,999,"Total water consumption per tonne of production decreased 4.5% in 2017, with most of the improvement due to a reduction in ""once through"" cooling requirements on two German sites and reduced losses due to a replacement reactor in the Middle East.",What was the main cause of the improvement that led to the 4.5% decrease in total water consumption per tonne of production?,"a reduction in ""once through"" cooling requirements on two German sites and reduced losses due to a replacement reactor in the Middle East",1,"a reduction in ""once through"" cooling requirements on two German sites and reduced losses",-0.1803379356861114,0.2351434527766782,True,0.7567567567567568,incomplete,1,accepted,incomplete,prior_manual_validation,no,,omits the replacement-reactor explanation for reduced losses
v5_0032_1210_beam2,v5_0032_1210,32,1210,"Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution. This drives the need for new, digital printing processes which are capable of delivering short print runs quickly, economically and in a more environmentally friendly way.","What triggers the need for new digital printing processes that can quickly, economically, and environmentally deliver short print runs?","Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution",2,Textile Printing using digital inkjet technology is growing fast,-0.3417839705944061,0.1968036389247306,True,0.4615384615384615,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits the causal or explanatory tail needed to complete the gold answer.
v5_0033_1091_beam5,v5_0033_1091,33,1091,"The average balance of interest-earning assets was EUR 1,246,189 million in 2018, 3% higher year-on-year (EUR 1,204,847 million). The increase was largely due to domestic activities, benefiting from the acquisition of Banco Popular in June 2017, and mature markets, driven by the growth of Santander Consumer Finance and the US. On the other hand, developing markets decreased because of exchange rates.",What drove the increase of the average balance of interest-earning assets in 2018?,"domestic activities, benefiting from the acquisition of Banco Popular in June 2017, and mature markets, driven by the growth of Santander Consumer Finance and the US",5,"domestic activities, benefiting from the acquisition of Banco Popular in June 2017, and mature markets, driven by the growth of Santander Consumer Finance",-0.2801806330680847,0.182593764488938,True,0.9387755102040816,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0037_1001_beam3,v5_0037_1001,37,1001,"Operating cash outflows of £24.0 million, of which £15.0 million relates to the CLSA annual payment, have decreased from £42.4 million for the year to 31 December 2016 as a result of changes in net working capital requirements.",What were the effects of changes in net working capital requirements?,"Operating cash outflows of £24.0 million, of which £15.0 million relates to the CLSA annual payment, have decreased from £42.4 million for the year to 31 December 2016",3,"Operating cash outflows of £24.0 million, of which £15.0 million relates to the CLSA annual payment",-0.2495506703853607,0.2073082125897401,True,0.6818181818181818,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,"Omits a complete, meaningful portion of the gold answer while remaining usable."
