audit_id,c1_candidate_id,m1_pair_id,id,context,question,chosen,m1_rejected,m1_error_type,target_causal_role,c1_rejected,donor_id,donor_context,donor_question,donor_causal_role,causal_role_match,selection_tier,m1_rejected_tokens,c1_rejected_tokens,absolute_token_difference,relative_token_difference,candidate_content_coverage_in_context,rejected_length_bin,audit_label,notes
C1X001,c1_v7_candidate_0206,m1_v6_screened_0206,752,As part of the Company's cost reduction programme it was agreed that there would be no salary increase for colleagues not involved in collective bargaining for 2017/18 and consequently no salary increases are proposed for the CEO and CFO. The CEO's salary therefore remains unchanged since his appointment in 2013.,Why were there no salary increases proposed for the CEO and CFO?,As part of the Company's cost reduction programme it was agreed that there would be no salary increase for colleagues not involved in collective bargaining for 2017/18,it was agreed that there would be no salary increase for colleagues not involved in collective bargaining for 2017/18,incomplete,cause,the development of the Group in the fluid power market is likely to include multiple opportunities to acquire trading companies in both the UK and Europe,1032,"The Board includes both Executive and Non-Executive Directors with considerable acquisition experience. Given that the development of the Group in the fluid power market is likely to include multiple opportunities to acquire trading companies in both the UK and Europe, future appointments will also be made as required",What led to the decision that future appointments will be made as required?,cause,True,1,26,26,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X002,c1_v7_candidate_0125,m1_v6_screened_0125,1025,"In light of the strong long-term track record of MUSCIT, the commitment of Montanaro, and following the comprehensive review shown above, the Board unanimously recommends that all Shareholders should vote in favour of Resolution 10 at the Annual General Meeting, as they intend to do themselves.",What factors led the Board to unanimously recommend that all Shareholders vote in favor of Resolution 10 at the Annual General Meeting?,"the strong long-term track record of MUSCIT, the commitment of Montanaro, and following the comprehensive review shown above","the strong long-term track record of MUSCIT, the commitment of Montanaro",incomplete,cause,The Group has made a significant investment in its Far East infrastructure to support its direct sourcing operation,499,"To spread the risk where possible contracts exist with more than one supplier for key products. The Group has made a significant investment in its Far East infrastructure to support its direct sourcing operation which allows the development of own brand products, thereby reducing the reliance on branded suppliers.",What caused the ability to develop the Group's own brand products?,cause,True,1,18,18,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X003,c1_v7_candidate_0095,m1_v6_screened_0095,894,"As part of this review the Committee reviewed the potential threats to auditor independence as a result of: • auditor self-interests, being those areas where the auditor may have a financial or other interest in the Company; • auditor self-review, being areas where the results of non-audit services are reflected in the amounts included or disclosed in the financial statements; and • Other threats, such as familiarity and intimidation.","What are the factors accounting for the potential threats to auditor independence, given the Committee's review?","auditor self-interests, being those areas where the auditor may have a financial or other interest in the Company; • auditor self-review, being areas where the results of non-audit services are reflected in the amounts included or disclosed in the financial statements; and • Other threats, such as familiarity and intimidation","auditor self-interests, being those areas where the auditor may have a financial or other interest in the Company; • auditor self-review, being areas where the results of non-audit services are reflected in the amounts included or disclosed in the financial statements",incomplete,cause,"acquiring a one‑third partnership stake in a 400‑acre (162.3‑hectare) site at Wintringham Park, St Neots, Cambridgeshire, for £13.3 million",1485,"Other interests in joint ventures and associates total £17.0 million, up £13.7 million from last year, predominantly as a result of acquiring a one‑third partnership stake in a 400‑acre (162.3‑hectare) site at Wintringham Park, St Neots, Cambridgeshire, for £13.3 million.","What caused other interests in joint ventures and associates to total £17.0 million, an increase of £13.7 million from last year?",cause,True,1,50,50,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X004,c1_v7_candidate_0001,m1_v6_screened_0001,1097,"Thus, Economic Sales in Tobacco and related products grew by 0.9% comparing to previous fiscal year due to the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services.",What were the reasons behind the growth by 0.9% comparing to previous fiscal year regarding Economic Sales in Tobacco and related products?,"the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services","to the good performance of the distribution of convenience products, of the activity in Portugal and the increase of value added services",overextended,cause,"the existence of current controls and review systems, and as the Company was neither of sufficient size nor complexity to warrant it",1291,"Following its annual review, the Committee recommended to the Board not to establish an internal audit function, due to the existence of current controls and review systems, and as the Company was neither of sufficient size nor complexity to warrant it.","Following its annual review, why did the Committee recommend to the Board not to establish an internal audit function?",cause,True,1,23,23,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X005,c1_v7_candidate_0195,m1_v6_screened_0195,1786,(11) WAIO – BKM Ore Reserves have increased due to Mineral Resource classification upgrades at Newman JV and Mining Area C. CID Ore Reserves have decreased after a processing capability re-evaluation of lower CID. Reserve Life remains the same due to an increase in nominated production rate,What factor led to Ore Reserves increasing?,Mineral Resource classification upgrades at Newman JV and Mining Area C,Mineral Resource classification upgrades at Newman JV,incomplete,cause,the reduction in the administrative costs per policy,1635,"In addition, LCA has performed as expected with its long standing and predictable customer base delivering a revenue of £2.2 million for the year, with a further release from technical reserves of £1.3 million (2016: £0.5 million) as a result of the reduction in the administrative costs per policy.","What led to the further release from technical reserves of £1.3 million in 2017, up from £0.5 million in 2016?",cause,True,1,8,8,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X006,c1_v7_candidate_0160,m1_v6_screened_0160,1584,"Underlying revenue growth (excluding the impact of acquisitions and movements in foreign exchange rates) was 4 per cent, driven by growth in new licence sales and in revenue from maintenance and support contracts of 2 per cent and 8 per cent respectively. The acquisition of ICON in October 2016 contributed a further 4 per cent to revenue growth.",What factors motivated the 4% growth in underlying revenue?,growth in new licence sales and in revenue from maintenance and support contracts of 2 per cent and 8 per cent respectively,new licence sales and in revenue from maintenance and support contracts of 2 per cent and 8 per cent respectively,incomplete,cause,all the Directors are non-executive and most of the Company's day-to-day responsibilities are delegated to third parties,378,"It should be noted that as an investment trust, all the Directors are non-executive and most of the Company's day-to-day responsibilities are delegated to third parties. Consequently, the Company has not reported on those provisions of the UK Corporate Governance Code relating to the role of the Chief Executive",Why has the Company the Company not reported on those provisions of the UK Corporate Governance Code relating to the role of the Chief Executive?,cause,True,1,22,22,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X007,c1_v7_candidate_0182,m1_v6_screened_0182,33,"Based on the statutory results for the year ended 31st December 2017, sales in this division (net of intercompany sales) increased by 28.4% to £59.7m (2016: £46.5m), which now accounts for 71.4% of total revenues. The £13.2m year-on-year increase is attributable to an additional £7.6m of sales derived from new product lines and £5.6m from increased demand in existing products.",What does the £13.2m year-on-year increase owe to?,an additional £7.6m of sales derived from new product lines and £5.6m from increased demand in existing products,an additional £7.6m of sales derived from new product lines,incomplete,cause,"a lack of funding, both from corporate debt and equity capital from investors",915,"3 Funding of acquisitions and future equity fundraising • There is a risk that JLEN is unable to achieve its stated ambition of growing the portfolio by acquiring new assets due to a lack of funding, both from corporate debt and equity capital from investors.",What caused the risk that JLEN might be unable to achieve its stated ambition of growing the portfolio by acquiring new assets?,cause,True,1,14,14,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X008,c1_v7_candidate_0236,m1_v6_screened_0236,1831,"Group adjusted operating margins declined by 80bps to 5.5% (2016: 6.3%), primarily due to an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins.","What factors drove the Group's decline in adjusted operating margins by 80bps, to 5.5%, compared to 2016's 6.3%?","an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins",an increase in operating costs from investments in the Group's customer propositions,incomplete,cause,the new branches opened in late 2015 reach maturity,662,"• In a highly competitive market, CCF has focused on passing through significant cost price inflation on specific insulation products. The business is generating good operating leverage as the new branches opened in late 2015 reach maturity. Differentiation, and therefore market outperformance, is driven by the development of a deeper understanding of customer requirements, and in so doing, forming closer customer relationships.",What does the good operating leverage of the business owe to?,cause,True,1,13,13,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X009,c1_v7_candidate_0041,m1_v6_screened_0041,267,Head office costs increased from £7.3 million in 2016 to £9.1 million in 2017. This was largely due to the effect of headcount increases in 2017 and staff bonuses associated with improved operating performance.,What caused head office costs to increase from £7.3 million in 2016 to £9.1 million in 2017?,the effect of headcount increases in 2017 and staff bonuses associated with improved operating performance,the effect of headcount increases in 2017,incomplete,cause,The Directors consider the size of the current board to be small,863,The Code states that there should be a nomination committee to deal with the appointment of both executive and non-executive Directors except in circumstances where the Board is small. The Directors consider the size of the current board to be small and have not therefore established a nomination committee.,Why have the Directors not established a nomination committee?,cause,True,1,12,12,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X010,c1_v7_candidate_0235,m1_v6_screened_0235,1482,"As a result of the Company's good performance as measured by its NAV total return, a performance fee of £1,018,000 has been earned by the Manager for the year. Further details of the management agreement, including fees, can be found in the annual financial report.",What was the consequence of the Company's good performance as measured by its NAV total return?,"a performance fee of £1,018,000 has been earned by the Manager for the year","£1,018,000 has been earned by the Manager for the year",incomplete,effect,Paul May missed one Board and one Audit Committee meeting (which were held on the same day),1096,Paul May missed one Board and one Audit Committee meeting (which were held on the same day) due to a previous commitment prior to joining the Board.,What did Paul May's prior commitment result in?,effect,True,1,19,19,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
