id;context;question;answer
1;– To provide a significant proportion of performance-linked pay in shares allowing senior management to build a significant shareholding in the business and, therefore, aligning management with shareholders' interests and the Group's performance, without encouraging excessive risk-taking.;What is the consequence of providing a significant proportion of performance-linked pay in shares, allowing senior management to build a significant shareholding in the business?;aligning management with shareholders' interests and the Group's performance, without encouraging excessive risk-taking
2;The vast majority of the Group's bank borrowings are with two banks and these financing arrangements contain either cross-collateralisation or cross-default provisions. Therefore, there is a risk that more than one property gets affected by a default under these financing arrangements.;Why is there a risk that more than one property gets affected by a default under these financing arrangements?;The vast majority of the Group's bank borrowings are with two banks and these financing arrangements contain either cross-collateralisation or cross-default provisions
3;Brazil has significant long-term potential and the success of the local team in capturing this potential has resulted in the creation of a very valuable asset in Brazil, which is not reflected in the Group's headline numbers. As shares in this business become available, we have continued to purchase our full allocation. As a result, we now own 32% of the iFood operation (2016: 30%). Head office costs Head office costs were £17.0 million (2016: £14.2 million), reflecting the increase in headcount required to build a great technology company and run an international group.;What did Brazil's long-term potential and the local team's success in capturing this potential lead to?;the creation of a very valuable asset in Brazil, which is not reflected in the Group's headline numbers
4;We are not proposing changes to the 2017 Performance Share Plan. Therefore our incentive arrangements will be linked only to performance under the Corporate Scorecard and Total Shareholder Return from 2018.;What impact did the decision to not propose changes to the 2017 Performance Share Plan have?;our incentive arrangements will be linked only to performance under the Corporate Scorecard and Total Shareholder Return from 2018
5;In addition, future interest charges will also increase as the interest rate swap became ineffective at the end of 2017, as forecast drawdowns will no longer be met as we seek to deleverage the business.;What is the reason for the anticipated increase in future interest charges?;the interest rate swap became ineffective at the end of 2017
6;The Commercial COR of 93.4% benefitted from low weather- related claims costs. The COR was 5.3 percentage points lower than 2016, primarily due to higher prior-year reserve releases following favourable development on liability classes and the non-repeat of the Ogden charge of £24.8 million incurred in 2016.;What reason is behind the COR being 5.3 percentage points lower than in 2016?;higher prior-year reserve releases following favourable development on liability classes and the non-repeat of the Ogden charge of £24.8 million incurred in 2016
7;"Cost per tonne at Ciénega increased 19.9% to US$66.5 due to: i) the increase in development works recognised in the income statement; ii) increases in the use of consumables, services and maintenance; and iii) cost inflation (6.3%). Cash cost per gold ounce was -US$163.7, an increase compared to -US$217.2";What factors led to the cost per tonne at Ciénega increasing by 19.9% to US$66.5?;"the increase in development works recognised in the income statement; ii) increases in the use of consumables, services and maintenance; and iii) cost inflation (6.3%)"
8;Failing to achieve targets for growth in passenger footfall through airports resulting in reduced revenue and income growth.;What does the reduced revenue and income growth stem from?;Failing to achieve targets for growth in passenger footfall through airports
9;Committee's assessment of internal control and risk management arrangements In light of its work, the Committee was content with the effectiveness of the Group's processes governing financial and regulatory reporting and controls, its culture, ethical standards and its relationships with regulators.;What was the impact of its work?;the Committee was content with the effectiveness of the Group's processes governing financial and regulatory reporting and controls, its culture, ethical standards and its relationships with regulators
10;• The business management system may be inadequate or may not be sufficiently complied with. • Specific risks for 2018: unable to attract, challenge or retain key staff due to lack of affordability to pursue all the growth opportunities within the portfolio increasing competition for talent.;What renders the Company unable to attract, challenge or retain key staff?;lack of affordability to pursue all the growth opportunities within the portfolio
11;As with any economic forecasts, the projections and likelihoods of occurrence are subject to a high degree of inherent uncertainty and therefore the actual outcomes may be significantly different to those projected.;What is the implication of the projections and likelihoods of occurrence are subject to a high degree of inherent uncertainty?;the actual outcomes may be significantly different to those projected
